iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"USB","US BANCORP","Financials","Equity","58,910,422.65","0.14","58,910,422.65","1,112,567.00","52.95","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","58,861,104.33","0.14","58,861,104.33","104,991.00","560.63","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","58,719,017.30","0.14","58,719,017.30","277,369.00","211.70","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","58,605,544.68","0.14","58,605,544.68","287,268.00","204.01","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","57,989,679.67","0.13","57,989,679.67","436,111.00","132.97","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","57,922,624.38","0.13","57,922,624.38","333,406.00","173.73","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","55,585,381.60","0.13","55,585,381.60","389,690.00","142.64","United States","NYSE","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","55,265,019.86","0.13","55,265,019.86","152,822.00","361.63","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","55,249,362.00","0.13","55,249,362.00","72,520.00","761.85","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","55,133,440.02","0.13","55,133,440.02","1,337,541.00","41.22","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","54,894,699.31","0.13","54,894,699.31","379,973.00","144.47","United States","NYSE","USD","1.00","USD","-"
