date,equity
2022-12-06,119669.58894021358
2022-12-07,119669.58894021358
2022-12-08,119669.58894021358
2022-12-09,119669.58894021358
2022-12-12,119669.58894021358
2022-12-13,119669.58894021358
2022-12-14,119669.58894021358
2022-12-15,119669.58894021358
2022-12-16,119669.58894021358
2022-12-19,119669.58894021358
2022-12-20,119514.0528569404
2022-12-21,119629.60921097183
2022-12-22,119745.2963958598
2022-12-23,119728.57185136653
2022-12-27,119835.73322543719
2022-12-28,119556.04956188699
2022-12-29,119420.23623023594
2022-12-30,119372.82094731467
2023-01-03,119260.13196955553
2023-01-04,119260.13196955553
2023-01-05,119260.13196955553
2023-01-06,119260.13196955553
2023-01-09,119260.13196955553
2023-01-10,119260.13196955553
2023-01-11,119260.13196955553
2023-01-12,119260.13196955553
2023-01-13,119260.13196955553
2023-01-17,119260.13196955553
2023-01-18,119260.13196955553
2023-01-19,119260.13196955553
2023-01-20,119260.13196955553
2023-01-23,119260.13196955553
2023-01-24,119260.13196955553
2023-01-25,119260.13196955553
2023-01-26,119260.13196955553
2023-01-27,119260.13196955553
2023-01-30,119260.13196955553
2023-01-31,119260.13196955553
2023-02-01,119260.13196955553
2023-02-02,119260.13196955553
2023-02-03,120055.56127175287
2023-02-06,120844.39548865231
2023-02-07,121223.5234481835
2023-02-08,121324.87070833123
2023-02-09,121488.07819893157
2023-02-10,121463.20053540274
2023-02-13,121405.75292983299
2023-02-14,121405.75292983299
2023-02-15,121405.75292983299
2023-02-16,121405.75292983299
2023-02-17,121405.75292983299
2023-02-21,121405.75292983299
2023-02-22,121405.75292983299
2023-02-23,121405.75292983299
2023-02-24,121405.75292983299
2023-02-27,121405.75292983299
2023-02-28,121405.75292983299
2023-03-01,121405.75292983299
2023-03-02,121405.75292983299
2023-03-03,121405.75292983299
2023-03-06,121405.75292983299
2023-03-07,121405.75292983299
2023-03-08,121405.75292983299
2023-03-09,121405.75292983299
2023-03-10,121529.85502316052
2023-03-13,121470.7974058092
2023-03-14,121377.88183699171
2023-03-15,121518.75190487415
2023-03-16,121538.48945671512
2023-03-17,121482.63993691377
2023-03-20,121422.13927196561
2023-03-21,121472.93216217145
2023-03-22,121844.98799587687
2023-03-23,121801.78005006429
2023-03-24,121742.71050669979
2023-03-27,121742.71050669979
2023-03-28,121742.71050669979
2023-03-29,121742.71050669979
2023-03-30,121742.71050669979
2023-03-31,121742.71050669979
2023-04-03,121742.71050669979
2023-04-04,121742.71050669979
2023-04-05,121742.71050669979
2023-04-06,121742.71050669979
2023-04-10,121742.71050669979
2023-04-11,121742.71050669979
2023-04-12,121742.71050669979
2023-04-13,121742.71050669979
2023-04-14,121742.71050669979
2023-04-17,121742.71050669979
2023-04-18,121742.71050669979
2023-04-19,121742.71050669979
2023-04-20,121742.71050669979
2023-04-21,121742.71050669979
2023-04-24,121742.71050669979
2023-04-25,121742.71050669979
2023-04-26,121742.71050669979
2023-04-27,121742.71050669979
2023-04-28,121742.71050669979
2023-05-01,121742.71050669979
2023-05-02,121742.71050669979
2023-05-03,121742.71050669979
2023-05-04,121742.71050669979
2023-05-05,121742.71050669979
2023-05-08,121742.71050669979
2023-05-09,121742.71050669979
2023-05-10,121742.71050669979
2023-05-11,121742.71050669979
2023-05-12,121742.71050669979
2023-05-15,121742.71050669979
2023-05-16,121742.71050669979
2023-05-17,121742.71050669979
2023-05-18,121742.71050669979
2023-05-19,121742.71050669979
2023-05-22,121742.71050669979
2023-05-23,121742.71050669979
2023-05-24,121742.71050669979
2023-05-25,121742.71050669979
2023-05-26,121742.71050669979
2023-05-30,121742.71050669979
2023-05-31,121742.71050669979
2023-06-01,121742.71050669979
2023-06-02,121742.71050669979
2023-06-05,121742.71050669979
2023-06-06,121742.71050669979
2023-06-07,121742.71050669979
2023-06-08,121742.71050669979
2023-06-09,121742.71050669979
2023-06-12,121742.71050669979
2023-06-13,121742.71050669979
2023-06-14,121742.71050669979
2023-06-15,121742.71050669979
2023-06-16,121742.71050669979
2023-06-20,121742.71050669979
2023-06-21,121742.71050669979
2023-06-22,121742.71050669979
2023-06-23,121742.71050669979
2023-06-26,121742.71050669979
2023-06-27,121742.71050669979
2023-06-28,121742.71050669979
2023-06-29,121742.71050669979
2023-06-30,121742.71050669979
2023-07-03,121742.71050669979
2023-07-05,121742.71050669979
2023-07-06,121742.71050669979
2023-07-07,121742.71050669979
2023-07-10,121742.71050669979
2023-07-11,121742.71050669979
2023-07-12,121742.71050669979
2023-07-13,121742.71050669979
2023-07-14,121742.71050669979
2023-07-17,121742.71050669979
2023-07-18,121742.71050669979
2023-07-19,121742.71050669979
2023-07-20,121742.71050669979
2023-07-21,121742.71050669979
2023-07-24,121742.71050669979
2023-07-25,121742.71050669979
2023-07-26,121742.71050669979
2023-07-27,121742.71050669979
2023-07-28,121742.71050669979
2023-07-31,121742.71050669979
2023-08-01,121742.71050669979
2023-08-02,121742.71050669979
2023-08-03,121742.71050669979
2023-08-04,121742.71050669979
2023-08-07,121742.71050669979
2023-08-08,121742.71050669979
2023-08-09,121742.71050669979
2023-08-10,121742.71050669979
2023-08-11,121742.71050669979
2023-08-14,121742.71050669979
2023-08-15,121742.71050669979
2023-08-16,121742.71050669979
2023-08-17,121742.71050669979
2023-08-18,121742.71050669979
2023-08-21,121742.71050669979
2023-08-22,121742.71050669979
2023-08-23,121742.71050669979
2023-08-24,121742.71050669979
2023-08-25,121742.71050669979
2023-08-28,121742.71050669979
2023-08-29,121742.71050669979
2023-08-30,121742.71050669979
2023-08-31,121742.71050669979
2023-09-01,121742.71050669979
2023-09-05,121742.71050669979
2023-09-06,121742.71050669979
2023-09-07,121742.71050669979
2023-09-08,121742.71050669979
2023-09-11,121742.71050669979
2023-09-12,121742.71050669979
2023-09-13,121742.71050669979
2023-09-14,121742.71050669979
2023-09-15,121742.71050669979
2023-09-18,121742.71050669979
2023-09-19,121742.71050669979
2023-09-20,121742.71050669979
2023-09-21,121742.71050669979
2023-09-22,121742.71050669979
2023-09-25,121742.71050669979
2023-09-26,121742.71050669979
2023-09-27,121742.71050669979
2023-09-28,121742.71050669979
2023-09-29,121742.71050669979
2023-10-02,121742.71050669979
2023-10-03,121742.71050669979
2023-10-04,121742.71050669979
2023-10-05,121742.71050669979
2023-10-06,121742.71050669979
2023-10-09,121742.71050669979
2023-10-10,121742.71050669979
2023-10-11,121742.71050669979
